year,month,tavg,tmax,tmin,pcp,zndx
2019,2,23.2,31.2,15.3,4.78,4.41
2019,3,32.4,43.9,21.0,1.4,-1.53
2019,4,42.9,53.2,32.6,3.2,1.91
2019,5,49.8,61.7,37.8,2.83,1.36
2019,6,57.2,71.0,43.4,1.09,-1.17
2019,7,65.5,80.7,50.3,0.54,-0.52
2019,8,66.0,81.8,50.1,0.6,-1.06
2019,9,55.0,67.6,42.4,2.09,1.59
2019,10,36.6,48.7,24.6,1.58,0.89
2019,11,34.3,45.0,23.7,0.82,-2.92
2019,12,26.6,33.4,19.8,2.26,-2.05
2020,1,27.3,34.2,20.3,3.96,0.43
2020,2,26.2,36.7,15.7,2.12,-0.45
2020,3,35.1,45.6,24.6,2.01,-1.02
2020,4,41.6,54.4,28.7,1.44,-1.0
2020,5,50.6,63.5,37.8,2.45,0.51
2020,6,56.2,68.8,43.7,2.99,2.33
2020,7,64.9,80.7,49.1,0.43,0.92
2020,8,67.1,83.0,51.2,0.25,-1.19
2020,9,58.7,74.8,42.6,0.68,-1.53
2020,10,45.4,58.4,32.4,1.52,-0.65
2020,11,32.7,42.3,23.2,2.43,-0.93
2020,12,26.2,35.2,17.3,1.91,-2.13
2021,1,26.6,34.6,18.5,2.33,-1.89
2021,2,25.4,33.6,17.1,3.06,1.27
2021,3,34.8,46.9,22.8,1.18,-2.53
2021,4,42.0,55.3,28.6,0.86,-2.13
2021,5,49.8,63.0,36.6,1.38,-1.47
2021,6,65.1,80.9,49.2,0.56,-3.71
2021,7,71.8,88.0,55.6,0.58,-4.18
2021,8,63.9,78.8,49.1,1.24,-0.78
2021,9,57.2,72.9,41.4,0.84,-1.34
2021,10,45.2,55.8,34.5,2.9,1.77
2021,11,36.7,45.4,27.9,2.17,-1.2
2021,12,26.5,33.7,19.3,3.91,0.88
2022,1,23.7,32.7,14.8,2.31,-0.36
2022,2,24.4,35.1,13.8,0.91,-2.66
2022,3,36.2,47.0,25.4,1.44,-2.36
2022,4,37.0,48.6,25.4,2.34,1.59
2022,5,46.1,57.6,34.6,3.23,2.8
2022,6,57.2,70.6,43.7,2.08,0.62
2022,7,69.5,85.8,53.2,0.26,-0.15
2022,8,69.4,85.2,53.5,0.71,-1.48
2022,9,60.8,76.4,45.3,0.99,-1.3
2022,10,48.0,61.6,34.5,1.25,-1.58
2022,11,26.2,35.9,16.6,2.92,-0.22
2022,12,22.8,30.4,15.2,3.62,0.41
2023,1,23.7,31.3,16.0,1.89,-1.11
2023,2,24.0,34.2,13.9,1.65,-1.3
2023,3,28.3,38.2,18.4,3.35,2.3
2023,4,39.0,51.1,26.9,1.87,0.32
