year,month,tavg,tmax,tmin,pcp,zndx
2019,9,63.1,75.0,51.2,3.9,6.7
2019,10,40.2,50.9,29.6,2.13,4.16
2019,11,31.1,41.4,20.8,0.94,2.32
2019,12,23.3,31.9,14.7,0.97,3.15
2020,1,20.1,28.9,11.2,0.41,1.31
2020,2,23.5,34.1,13.0,0.42,1.3
2020,3,36.4,47.4,25.4,0.78,0.86
2020,4,42.0,56.0,28.1,0.94,0.18
2020,5,54.2,65.8,42.6,2.71,1.29
2020,6,70.3,83.2,57.4,3.04,-0.18
2020,7,73.5,86.6,60.4,3.34,3.36
2020,8,72.6,86.7,58.4,1.97,0.95
2020,9,60.4,74.8,46.0,0.74,-1.38
2020,10,41.2,53.2,29.3,1.11,0.95
2020,11,38.6,52.4,24.7,0.36,-1.23
2020,12,28.3,39.8,16.7,0.35,-0.36
2021,1,26.5,34.8,18.2,0.31,-0.42
2021,2,12.8,23.4,2.3,0.37,-0.55
2021,3,39.4,52.4,26.5,1.21,-1.34
2021,4,43.6,57.1,30.1,1.48,-0.96
2021,5,55.0,67.9,42.1,2.25,-0.92
2021,6,72.3,87.4,57.1,1.19,-5.46
2021,7,75.3,88.7,61.9,2.47,-2.14
2021,8,72.5,86.8,58.1,2.55,-0.53
2021,9,65.0,79.6,50.4,2.03,-0.05
2021,10,51.2,63.1,39.2,3.42,4.51
2021,11,38.2,50.5,26.0,0.24,-1.42
2021,12,24.5,35.2,13.8,0.63,0.56
2022,1,19.1,32.0,6.2,0.21,-0.67
2022,2,19.9,33.6,6.2,0.28,-0.76
2022,3,33.3,46.2,20.4,0.43,-1.84
2022,4,39.6,52.0,27.2,2.64,1.97
2022,5,55.4,67.9,42.8,3.41,1.53
2022,6,67.6,80.8,54.5,2.34,-1.65
2022,7,74.6,88.1,61.1,2.79,0.67
2022,8,73.2,87.2,59.2,1.83,-0.9
2022,9,65.4,80.9,49.9,0.59,-2.84
2022,10,49.4,63.7,35.1,0.56,-1.67
2022,11,29.0,40.3,17.8,0.49,-0.37
2022,12,15.1,24.5,5.7,1.42,2.95
2023,1,19.9,28.5,11.4,0.8,1.24
2023,2,22.0,33.2,10.8,0.71,0.78
2023,3,23.8,33.4,14.2,1.11,0.6
2023,4,41.3,53.9,28.6,1.22,-0.29
2023,5,61.4,75.0,47.7,2.98,-0.39
