"DateTime","Centers for Disease Control and Prevention[en]"
"2008-11-27 00:00:00",492
"2008-11-28 00:00:00",497
"2008-11-29 00:00:00",426
"2008-11-30 00:00:00",536
"2008-12-01 00:00:00",887
"2008-12-02 00:00:00",807
"2008-12-03 00:00:00",851
"2008-12-04 00:00:00",729
"2008-12-05 00:00:00",655
"2008-12-06 00:00:00",456
"2008-12-07 00:00:00",495
"2008-12-08 00:00:00",676
"2008-12-09 00:00:00",654
"2008-12-10 00:00:00",642
"2008-12-11 00:00:00",597
"2008-12-12 00:00:00",505
"2008-12-13 00:00:00",483
"2008-12-14 00:00:00",460
"2008-12-15 00:00:00",669
"2008-12-16 00:00:00",566
"2008-12-17 00:00:00",576
"2008-12-18 00:00:00",532
"2008-12-19 00:00:00",454
"2008-12-20 00:00:00",315
"2008-12-21 00:00:00",334
"2008-12-22 00:00:00",442
"2008-12-23 00:00:00",378
"2008-12-24 00:00:00",308
"2008-12-25 00:00:00",226
"2008-12-26 00:00:00",283
"2008-12-27 00:00:00",263
"2008-12-28 00:00:00",309
"2008-12-29 00:00:00",414
"2008-12-30 00:00:00",433
"2008-12-31 00:00:00",304
"2009-01-01 00:00:00",264
"2009-01-02 00:00:00",402
"2009-01-03 00:00:00",370
"2009-01-04 00:00:00",372
"2009-01-05 00:00:00",501
"2009-01-06 00:00:00",574
"2009-01-07 00:00:00",558
"2009-01-08 00:00:00",639
"2009-01-09 00:00:00",600
"2009-01-10 00:00:00",503
"2009-01-11 00:00:00",573
"2009-01-12 00:00:00",638
"2009-01-13 00:00:00",682
"2009-01-14 00:00:00",622
"2009-01-15 00:00:00",682
"2009-01-16 00:00:00",566
"2009-01-17 00:00:00",404
"2009-01-18 00:00:00",439
"2009-01-19 00:00:00",624
"2009-01-20 00:00:00",689
"2009-01-21 00:00:00",640
"2009-01-22 00:00:00",731
"2009-01-23 00:00:00",637
"2009-01-24 00:00:00",505
"2009-01-25 00:00:00",473
"2009-01-26 00:00:00",661
"2009-01-27 00:00:00",666
"2009-01-28 00:00:00",667
"2009-01-29 00:00:00",667
"2009-01-30 00:00:00",604
"2009-01-31 00:00:00",498
"2009-02-01 00:00:00",514
"2009-02-02 00:00:00",716
"2009-02-03 00:00:00",771
"2009-02-04 00:00:00",708
"2009-02-05 00:00:00",677
"2009-02-06 00:00:00",616
"2009-02-07 00:00:00",496
"2009-02-08 00:00:00",539
"2009-02-09 00:00:00",781
"2009-02-10 00:00:00",685
"2009-02-11 00:00:00",854
"2009-02-12 00:00:00",638
"2009-02-13 00:00:00",600
"2009-02-14 00:00:00",385
"2009-02-15 00:00:00",474
"2009-02-16 00:00:00",698
"2009-02-17 00:00:00",724
"2009-02-18 00:00:00",663
"2009-02-19 00:00:00",737
"2009-02-20 00:00:00",614
"2009-02-21 00:00:00",427
"2009-02-22 00:00:00",576
"2009-02-23 00:00:00",860
"2009-02-24 00:00:00",690
"2009-02-25 00:00:00",735
"2009-02-26 00:00:00",711
"2009-02-27 00:00:00",672
"2009-02-28 00:00:00",525
"2009-03-01 00:00:00",507
"2009-03-02 00:00:00",771
"2009-03-03 00:00:00",671
"2009-03-04 00:00:00",779
"2009-03-05 00:00:00",675
"2009-03-06 00:00:00",690
"2009-03-07 00:00:00",434
"2009-03-08 00:00:00",496
"2009-03-09 00:00:00",773
"2009-03-10 00:00:00",635
"2009-03-11 00:00:00",678
"2009-03-12 00:00:00",734
"2009-03-13 00:00:00",558
"2009-03-14 00:00:00",373
"2009-03-15 00:00:00",534
"2009-03-16 00:00:00",741
"2009-03-17 00:00:00",718
"2009-03-18 00:00:00",794
"2009-03-19 00:00:00",686
"2009-03-20 00:00:00",651
"2009-03-21 00:00:00",410
"2009-03-22 00:00:00",481
"2009-03-23 00:00:00",665
"2009-03-24 00:00:00",741
"2009-03-25 00:00:00",789
"2009-03-26 00:00:00",715
"2009-03-27 00:00:00",637
"2009-03-28 00:00:00",454
"2009-03-29 00:00:00",530
