year,month,tavg,tmax,tmin,pcp,zndx
2019,7,73.8,84.8,62.8,4.56,1.0
2019,8,69.8,80.9,58.7,3.83,0.2
2019,9,62.0,73.6,50.4,1.89,-1.87
2019,10,52.4,61.4,43.5,6.28,2.53
2019,11,37.4,46.5,28.3,3.32,-0.4
2019,12,30.5,38.8,22.2,7.03,3.51
2020,1,32.0,40.4,23.7,1.83,-2.03
2020,2,32.4,40.7,24.2,3.31,0.08
2020,3,40.2,50.1,30.2,3.72,-0.78
2020,4,43.1,52.3,33.9,5.36,1.99
2020,5,56.2,67.7,44.6,2.5,-1.4
2020,6,67.6,79.2,56.0,2.53,-1.7
2020,7,74.6,84.6,64.5,2.93,-1.86
2020,8,71.7,82.5,61.0,2.7,-2.38
2020,9,62.8,73.9,51.7,2.18,-2.34
2020,10,52.4,61.9,42.9,5.17,0.74
2020,11,44.7,55.4,34.0,3.8,-1.16
2020,12,33.1,41.4,24.8,6.37,2.73
2021,1,28.8,35.9,21.6,2.27,-1.55
2021,2,27.6,35.3,20.0,3.21,-0.02
2021,3,38.3,50.0,26.7,2.19,-2.29
2021,4,47.8,58.7,36.8,4.34,0.11
2021,5,57.6,68.9,46.3,5.14,1.21
2021,6,69.2,80.2,58.2,2.49,-1.84
2021,7,69.8,78.3,61.4,10.41,7.97
2021,8,72.7,81.5,63.8,5.17,1.69
2021,9,64.8,74.2,55.4,7.48,3.78
2021,10,56.3,65.0,47.5,6.76,3.44
2021,11,40.8,51.1,30.4,2.29,-1.75
2021,12,36.0,43.5,28.4,3.07,-1.01
2022,1,23.5,33.5,13.5,2.85,-0.91
2022,2,30.0,40.8,19.1,4.97,2.38
2022,3,38.1,48.4,27.9,3.01,-1.34
2022,4,47.1,57.9,36.3,4.1,-0.08
2022,5,59.8,70.7,49.0,2.23,-2.17
2022,6,65.5,76.6,54.4,2.74,-1.39
2022,7,73.3,84.9,61.7,2.16,-2.67
2022,8,73.8,84.7,63.0,2.56,-2.96
2022,9,62.5,72.4,52.5,5.66,1.03
2022,10,52.5,63.0,42.1,4.66,0.78
2022,11,44.7,55.0,34.4,3.22,-1.22
2022,12,33.2,42.1,24.4,5.39,1.68
2023,1,35.3,42.1,28.5,6.78,3.18
2023,2,32.3,42.2,22.4,1.61,-2.23
2023,3,37.6,46.6,28.6,4.19,0.05
2023,4,49.9,61.0,38.9,3.67,-1.0
2023,5,56.3,69.5,43.1,3.17,-0.7
2023,6,64.6,74.7,54.6,4.66,1.08
2023,7,73.9,83.2,64.5,8.82,6.17
